date,open,high,low,close,adjusted_close,volume
2023-09-11,0.26,0.265,0.255,0.265,0.2554,264900
2023-09-12,0.26,0.265,0.255,0.265,0.2554,407500
2023-09-13,0.255,0.265,0.255,0.265,0.2554,16100
2023-09-14,0.255,0.265,0.255,0.26,0.2506,134300
2023-09-15,0.26,0.265,0.26,0.265,0.2554,71800
2023-09-18,0.255,0.26,0.255,0.255,0.2458,220500
2023-09-19,0.255,0.26,0.25,0.26,0.2506,179300
2023-09-20,0.26,0.27,0.26,0.27,0.2602,424900
2023-09-21,0.27,0.27,0.265,0.27,0.2602,235500
2023-09-22,0.26,0.275,0.26,0.275,0.2651,441500
2023-09-26,0.27,0.275,0.265,0.275,0.2651,27700
2023-09-27,0.265,0.27,0.265,0.265,0.2554,138900
2023-09-29,0.265,0.265,0.26,0.26,0.2506,116800
2023-10-02,0.265,0.27,0.265,0.27,0.2602,97800
2023-10-03,0.265,0.27,0.265,0.265,0.2554,80100
2023-10-04,0.26,0.26,0.25,0.26,0.2506,117900
2023-10-06,0.27,0.27,0.26,0.265,0.2554,691700
2023-10-09,0.265,0.265,0.26,0.265,0.2554,95900
2023-10-10,0.26,0.265,0.26,0.265,0.2554,127200
2023-10-11,0.26,0.27,0.26,0.27,0.2602,27500
2023-10-12,0.265,0.27,0.265,0.27,0.2602,121700
2023-10-13,0.27,0.27,0.26,0.26,0.2506,40700
2023-10-16,0.265,0.27,0.26,0.26,0.2506,86400
2023-10-18,0.255,0.255,0.255,0.255,0.2458,226300
2023-10-20,0.255,0.26,0.255,0.26,0.2506,65600
2023-10-23,0.26,0.26,0.26,0.26,0.2506,300
2023-10-24,0.245,0.26,0.245,0.26,0.2506,46400
2023-10-25,0.255,0.26,0.25,0.25,0.241,258000
2023-10-26,0.25,0.26,0.25,0.26,0.2506,1100
2023-10-30,0.245,0.26,0.245,0.26,0.2506,10300
2023-11-01,0.26,0.26,0.25,0.25,0.241,20500
2023-11-02,0.25,0.26,0.25,0.26,0.2506,20500
2023-11-03,0.26,0.26,0.255,0.26,0.2506,21800
2023-11-06,0.255,0.26,0.255,0.26,0.2506,20200
2023-11-07,0.25,0.26,0.245,0.26,0.2506,109600
2023-11-09,0.255,0.255,0.25,0.25,0.241,90200
2023-11-14,0.255,0.26,0.255,0.26,0.2506,86600
2023-11-15,0.255,0.26,0.255,0.26,0.2506,5000
2023-11-16,0.255,0.255,0.255,0.255,0.2458,45500
2023-11-17,0.25,0.26,0.25,0.26,0.2506,92600
2023-11-21,0.26,0.26,0.26,0.26,0.2506,13000
2023-11-22,0.26,0.26,0.255,0.26,0.2506,47200
2023-11-23,0.26,0.26,0.25,0.26,0.2506,42200
2023-11-24,0.255,0.26,0.255,0.26,0.2506,21000
2023-11-27,0.26,0.265,0.26,0.265,0.2554,20000
2023-11-28,0.255,0.26,0.255,0.26,0.2506,60200
2023-11-29,0.265,0.27,0.26,0.27,0.2602,464800
2023-11-30,0.265,0.27,0.265,0.27,0.2602,419800
2023-12-01,0.265,0.27,0.26,0.26,0.2506,156700
2023-12-04,0.26,0.265,0.25,0.255,0.2458,199200
2023-12-05,0.255,0.26,0.255,0.255,0.2458,136700
2023-12-06,0.255,0.26,0.255,0.26,0.2506,25700
2023-12-07,0.25,0.26,0.25,0.26,0.2506,165300
2023-12-08,0.255,0.26,0.255,0.26,0.2506,35100
2023-12-11,0.255,0.26,0.255,0.26,0.2555,60000
2023-12-12,0.26,0.26,0.25,0.255,0.2506,80900
2023-12-13,0.255,0.26,0.255,0.255,0.2506,78200
2023-12-14,0.255,0.255,0.25,0.255,0.2506,55600
2023-12-15,0.25,0.255,0.25,0.255,0.2506,86100
2023-12-18,0.255,0.26,0.255,0.26,0.2555,325500
2023-12-19,0.265,0.265,0.26,0.265,0.2604,684600
2023-12-20,0.26,0.265,0.26,0.26,0.2555,270400
2023-12-21,0.26,0.26,0.26,0.26,0.2555,5700
2023-12-22,0.26,0.26,0.255,0.26,0.2555,112800
2023-12-26,0.26,0.265,0.26,0.265,0.2604,416800
2023-12-27,0.265,0.265,0.26,0.265,0.2604,196800
2023-12-28,0.26,0.26,0.255,0.26,0.2555,315400
2023-12-29,0.255,0.26,0.255,0.26,0.2555,144300
2024-01-02,0.26,0.26,0.26,0.26,0.2555,95500
2024-01-03,0.26,0.27,0.255,0.27,0.2653,1119400
